Farmer No.,Week1,Week2,Week3,Week4,Week5,Week6,Week7,Week8,Week9,Week10,Week11,Week12,Week13,Week14,Week15,Week16,Week17,Week18,Week19,Week20,Week21,Week22,Week23,Week24,Week25,Week26,Week27,Week28,Week29,Week30,Week31,Week32,Week33,Week34,Week35,Week36,Week37,Week38,Week39,Week40,Week41,Week42,Week43,Week44,Week45,Week46,Week47,Week48,Week49,Week50,Week51,Week52
212,"46,070","75,449","55,620","23,552","49,985","63,166","63,860","73,589","31,779",0,0,0,0,0,0,0,0,"56,253","57,794","92,034","85,772","98,298","88,556","84,730","92,467","67,746","87,833","68,849","68,421","56,267","65,381","58,564","47,577","31,993","40,514","46,165","38,186","29,942","12,456","1,132","10,247","10,844","40,911","49,438","28,185","5,856","7,625","13,118","11,266","14,380","16,493","20,615"
213,"8,178","4,869","5,071","5,021","5,207","5,474","5,704","5,358","1,439","2,325",599,0,0,"2,274","2,008","1,988","2,278","2,557","3,360","3,405","3,470","3,525","4,730","5,236","6,398","6,898","8,088","9,662","10,131","9,603","8,585","9,355","8,340","9,959","8,335","12,027","8,489","8,872","9,516","9,086","7,725","7,996","8,734","9,281","9,365","4,124","5,961","6,280","6,469","5,340","2,882","2,994"
214,"5,400","5,894",0,0,0,0,0,0,498,"2,687","2,170","1,757","1,864","1,733","1,528","3,357","2,842","3,136","3,139","3,355","3,120","3,545","3,806","2,984","3,177","3,555","3,297","3,632","3,319","2,394","2,315","2,273","2,166","1,987","2,333","1,509","1,533","1,323","1,107",709,0,0,0,0,0,0,0,0,0,0,0,0
215,"7,166","25,309","7,487","9,786","4,851","4,910","6,131","1,493",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"19,797","33,251","33,397","28,988","33,523","27,891","21,516","18,559","21,444","40,502","24,634","28,090","17,819","20,666","13,956","11,206",0,0,0,0,"2,117","1,913",0,"6,521","5,070","2,432"
216,"3,464","3,544","3,024","3,316",847,"2,012","3,202","1,990",0,"2,595","1,512","5,150","3,692","6,190","6,428","4,824","8,594","6,372","15,085","57,794","111,310","106,584","283,114","241,428","246,799","209,066","253,783","162,216","203,189","205,618","201,054","159,930","112,555","123,233","125,308","44,305","19,315",0,0,0,0,0,0,0,0,0,"2,465","2,098","18,236","7,525",0,"13,758"
217,"11,308","14,876","13,412","15,689","12,775","11,056","9,446","4,991","6,537","7,865","3,404",0,0,"46,025","22,051","10,464","12,383","12,364","14,176","25,872","33,714","34,218","48,960","51,212","48,489","41,509","54,238","58,882","52,457","48,768","56,177","45,639","38,419","27,224","27,110","23,073","18,187","18,403","17,267","7,413","2,134","16,710","18,490","21,506","24,207","16,023","12,007","18,159","19,278","24,198","16,490","19,943"
218,"52,029","41,298","40,734","36,536","33,483","11,129","13,222","18,301","13,003","31,313","17,378","14,109","9,026","10,226","8,029","6,061","13,175","7,722","15,120","14,361","17,001","14,308","14,126","12,805","16,414","16,864","20,451","19,467","25,333","22,943","27,965","24,480","24,806","20,616","25,765","31,737","16,881","4,398","6,916","12,351","14,854","8,515",0,0,0,0,0,"8,728","10,539","12,589","6,763","19,329"
219,459,792,839,"1,492","1,539","3,025","3,254","3,732","2,174","4,462","5,375","10,364","4,546","12,806","10,800","10,122","11,594","10,193","13,220","16,838","17,531","15,793","23,335","23,065","25,548","24,457","28,525","29,923","27,598","26,326","21,375","19,199","18,952","17,822","17,980","18,629","16,218","12,193","11,511","12,445",0,"6,273","9,587","4,749","5,325","5,822","6,771","6,266",0,"3,971","2,971","10,495"
220,"76,501","58,658","53,275","47,581","49,691","59,853","49,562","38,104","17,901","27,321","22,239","21,545","32,712","27,964","38,249","26,754","108,865","89,764","97,796","92,916","133,038","83,945","123,684","138,870","162,163","140,775","164,300","161,034","135,926","95,407","135,995","102,385","83,797","97,269","48,302","51,889","45,229","39,499","32,357","26,876","16,277","14,351","12,970",0,0,0,"17,575","16,522","16,782","15,626",0,"40,754"
221,"11,860","4,175","1,567","1,102","1,167","1,751",509,"1,123",468,"5,649","6,925","5,528","2,889","1,287","1,580","2,122",960,663,"3,063","4,028","11,334","8,257","5,595","2,962","4,201","2,040","1,819","1,705",872,844,"1,719","1,207","1,142","1,072","1,033","1,118",577,466,555,394,359,487,0,212,0,"1,077",763,860,838,922,186,191
222,"14,366","20,102","2,606","2,040","1,144","6,987","10,941","12,206",0,458,562,0,441,0,173,237,47,0,270,0,450,224,454,436,0,452,168,141,118,0,0,308,"7,574","5,671","12,116","7,655","6,815","2,683","1,901",0,0,0,0,0,0,0,0,0,0,947,"1,095",873
223,"64,011","162,144","146,791","140,648","112,500","119,525","132,847","105,300","54,447","141,194","99,814","87,983","114,031","250,408","302,033","344,800","245,076","238,294","193,004","166,046","312,859","233,987","360,263","382,199","403,276","397,850","436,119","469,033","442,416","396,849","247,817","192,462","163,741","135,548","96,974","118,919","191,623","255,465","240,307","111,345","21,775","228,851","213,188","57,614","72,402","29,943","66,970","81,728","78,682","54,705","53,458","67,304"
224,0,0,0,0,0,0,0,0,0,0,0,0,"10,432","15,587","43,245","60,931","58,995","57,998","119,631","33,989","90,776","171,836","294,667","320,880","395,706","309,073","233,730","255,185","187,165","220,919","221,298","196,489","144,994","107,580","46,082","53,880","34,765",946,"3,208","1,030","4,116","10,910","7,683","1,479",0,"7,524","18,765","40,485","23,443","12,262",0,"9,587"
225,"14,301","11,890",585,0,0,0,0,663,987,"2,979","1,927","1,653","1,895","1,607","3,178","1,397","1,949",817,516,"1,238",688,"1,176","2,566","1,290","1,168","1,281","2,236","1,956",302,517,0,799,0,0,0,0,0,0,0,0,0,"15,116","15,694","15,787","15,108","15,710","17,190","20,882","14,680","2,937","4,664","4,836"
226,"2,123","5,773","8,030","8,104","4,956","8,950","13,537","21,490","9,968","16,934","24,524","77,616","94,281","127,838","215,651","328,184","193,896","95,054","111,242","6,170","8,340","107,031","292,568","264,209","286,963","257,068","263,198","418,345","350,232","208,925","325,506","254,371","317,230","274,186","186,043","198,514","232,041","158,798","75,975","45,962","12,972","35,519","76,029","43,532",0,"24,219","31,111","3,877","17,588","2,678",0,"3,862"
227,0,0,0,0,0,0,0,0,0,0,0,"16,070","19,055","34,244","66,161","84,931","66,379","63,780","87,337","81,529","135,540","155,210","201,509","245,972","244,957","216,454","229,758","321,318","292,075","174,271","125,059","36,811","90,923","49,522","31,856","27,381","37,941","18,794","6,792","10,979","8,811","2,761","6,043","9,265","3,984","1,705",851,"1,843",700,"8,800","6,170","3,475"
228,"9,402","7,275","17,294","19,700","22,178","24,085","25,575","30,297","17,174","44,614","19,556","16,451","22,158","17,766","18,130","19,264","17,691","15,456","20,123","21,769","24,182","17,958","20,032","25,018","28,974","29,619","56,322","63,625","59,434","22,840","28,534","18,427","7,898","16,003","7,002","10,267","8,087","20,088","22,533","25,236","12,040","35,336","29,324","23,807","12,154","14,326","14,161","14,137","9,689","5,561","2,819","2,073"
229,0,0,0,0,0,"1,928","4,040","3,879","2,135","8,057","8,181","9,174","9,323","9,864","9,296","8,064","7,871","7,573","9,589","11,371","12,400","12,836","16,058","21,553","19,397","22,640","35,354","45,170","36,996","14,306","19,632",0,0,0,0,0,0,0,0,0,0,0,0,0,"3,316","3,550","3,787","3,878","3,936","3,880","2,622",784
230,"12,759","43,956","41,435","23,350","16,911","15,531","13,161","12,056","7,437","32,825","21,084","20,257","19,951","36,263","61,425","59,104","73,104","111,061","112,719","75,911","158,045","206,516","234,838","292,679","277,492","373,210","349,061","380,179","380,595","309,350","255,821","219,701","194,326","107,484","74,523","69,842","71,650","22,629","10,535","13,730","11,557","9,615","9,983","1,619","5,393","11,329","19,883","34,307","54,878","59,732","18,215","46,521"
231,0,"6,262","21,304","16,576","13,704","6,600",0,0,0,"9,406","12,203","12,564","13,146","20,331","36,924","47,556","56,991","50,551","64,425","71,915","78,831","86,301","93,872","109,999","117,370","118,641","124,350","136,673","103,184","115,081","108,016","70,641","71,046","64,125","40,104","23,957","15,546","12,816","23,756","14,832","10,348","16,803","28,576","39,591","38,695","39,198","40,576","37,091","39,652","33,769","13,129","3,086"
232,"28,515","57,697","63,320","50,330","31,286","34,795","34,796","14,780","6,334","13,536","10,798","11,132","10,787","45,951","64,187","70,326","82,332","92,715","96,036","76,435","102,766","101,879","128,911","135,294","134,314","145,517","136,167","144,166","139,167","128,827","113,017","98,618","98,954","62,888","37,539","39,241","37,490","45,280","32,744","5,713",0,"62,151","43,889",0,0,0,0,0,"2,059","2,076","3,245","25,000"
233,0,0,0,0,0,0,0,0,330,"1,304",929,"1,868","5,429","6,343","5,638","6,039","7,888","9,533","16,517","18,154","23,097","25,412","30,681","32,063","31,445","26,671","26,536","26,973","24,414","25,791","25,840","23,888","21,933","23,518","25,641","24,579","24,594","22,588","26,034","9,949",0,"13,209","20,193","16,429","17,395","20,968","29,660","27,267","34,297","37,126","14,542","11,545"
234,"11,882","11,395","15,728","3,659","3,595","2,908",0,"4,002","3,819","22,821","7,101","9,695","4,821","25,590","63,926","136,422","81,555","17,819","23,818","13,715","78,463","116,306","142,876","138,936","169,313","139,369","160,560","143,895","135,239","125,610","142,185","106,793","85,962","66,738","44,000","50,757","43,595","27,294","22,642","31,599","18,935","24,079","16,043","8,608",0,"1,231","4,558","6,257","9,174","2,228",465,"8,833"
235,"28,016","30,464","30,323","20,940","12,186","21,593","13,945","16,485","7,475","26,278","21,702","19,691","16,733","61,357","90,013","113,042","104,392","88,880","82,717","40,141","103,158","114,877","185,596","241,658","289,574","332,708","322,954","159,837","172,355","151,689","163,754","139,700","122,556","106,862","76,134","90,391","59,054","67,923","31,800","30,398","17,369","12,936","10,413","2,363",0,"27,227","38,427","77,049","25,389","9,390",0,"4,594"
236,"2,733","3,480","2,747","1,667","1,203","1,407","1,290",965,704,"1,277","1,139","1,799","2,086","1,612","1,903",0,"1,646",740,"1,437","1,464",643,657,"1,051","1,561","1,470","1,291","1,895","1,934","2,061","1,842","1,631","1,332","1,838","4,538","4,320","2,413","2,273","3,408","3,501","2,864","2,499","2,357","2,994","2,521","1,260","1,128","1,400","1,326",0,727,0,0
237,"7,892",476,"1,913",0,0,0,0,0,0,0,0,0,"1,479","6,381","6,030","6,139","6,349","6,289","5,624","4,926","6,613","7,179","9,035","9,537","10,716","13,315","17,897","18,297","17,286","16,067","18,032","15,028","14,186","29,613","16,816","17,658","15,445","14,136","14,088","15,570","13,536","10,626","14,435","12,906","11,784","8,710","12,554","11,890","10,335","9,592","7,907","8,987"
238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,330","2,572","2,643","2,269","3,818","7,246","9,079","9,516","11,011","10,859","10,351","8,694","6,427","6,055","3,170","1,356","3,285","2,541","1,889","1,788","1,851","1,050",278,938,951,218,"1,638","2,178","1,955","1,313","1,260","1,604","1,304","1,418","1,226","1,701"
239,0,0,0,0,0,0,0,0,0,0,"1,047","2,079","3,057","1,178","1,466","1,732","1,821","1,598","1,427","1,551","1,968","3,188","2,789","2,878","4,043","4,719","4,812","5,258","4,941","5,720","6,620","6,100","5,224","4,929","5,857","5,376","5,957","4,708","5,543","5,844","5,641","4,984","6,406","4,651","4,451","5,163","4,415","5,266","5,439","6,498","4,877","5,597"
240,0,"4,840","3,102",605,508,"2,215","1,022",602,"3,830","42,530","36,330","14,431",0,"5,493","6,773","16,204","27,188","59,152","73,998","37,177","62,751","84,014","230,236","196,387","235,469","256,535","324,309","230,816","155,806","116,631","164,796","127,194","133,314","89,799","44,025","40,765","61,851","50,944","37,603","40,215","16,866","23,133","28,102","31,119","9,388","1,199","1,080",0,"1,407","4,103","4,769","3,413"
241,"10,298","8,951","4,236","3,792","8,868","5,426","7,206","1,398","8,071","21,329","9,848","34,046","25,351","37,640","52,131","50,253","43,582","65,604","45,984","31,454","22,593","33,534","46,757","39,839","70,035","98,333","137,993","152,714","161,024","72,824","89,024","75,219","72,543","56,075","40,249","40,104",0,"34,046","30,472","35,097","18,570","30,149","35,191",0,0,0,0,0,0,"2,762",0,"2,187"
242,"8,238","5,857","2,276","3,691","6,141","7,089","6,843","5,960","4,247","18,048","15,487","15,099","22,087","31,411","49,035","126,756","111,576","163,340","117,647","45,590","165,767","229,229","229,940","314,110","275,255","279,357","301,197","152,232","155,556","167,680","183,584","133,620","122,399","102,938","73,298","35,839","34,963","28,423","24,538","18,477","15,671","15,220","8,564",0,0,"17,412","50,920","59,995","32,536","25,813","21,392","9,660"
243,"23,735","20,805","21,272","18,634","17,027","10,982",492,483,0,0,0,"1,387","3,979","3,139","2,662","1,091","1,038","4,619","13,461","16,175","8,897","9,119","18,065","20,043","14,322","24,581","23,921","25,495","18,880","14,547","14,834","10,696","9,257","9,238","9,204","9,960","9,183","9,007","12,118","7,341","6,683","9,313","6,820","7,649","7,436","6,375","7,262","7,323","7,306","6,985","6,837","6,408"
244,"1,387",553,663,542,0,0,0,0,0,"2,020","4,698","4,180",0,0,0,0,0,0,0,0,0,0,"91,316","149,067","174,791","179,475","239,293","328,239","322,264","348,668","307,844","298,163","270,743","231,014","194,099","226,513","216,801","239,174","223,196","132,808","98,199","58,138","71,402","25,088","15,155","18,453","27,016","23,442","43,364","28,012","7,258","23,208"
245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,886,"1,164",868,"1,060",605,754,868,406,736,660,895,893,765,640,600,735,838,400,533
246,"1,358","1,397","1,398","1,390","2,181","2,869","2,952","2,981","1,227","4,615","5,215","5,787","5,731","6,844","5,781","5,978","5,187","6,199","6,052","5,930","6,170","4,806","5,940","6,368","5,747","4,727","6,264","6,019","5,732","4,629","5,316","5,235","4,387","4,636","4,003","4,168","4,164","4,061","3,408","3,344","2,423","1,858","2,273","2,812","2,808","2,518","1,692","1,574","2,005","1,783","1,251",803
247,0,"6,529","6,441",757,0,463,0,0,0,"8,037","6,706","4,336","13,321","39,494","101,744","158,198","49,609",0,0,"5,092",0,"86,964","162,777","179,622","220,745","313,118","399,079","369,718","285,341","281,885","259,246","209,440","213,695","164,545","127,781","151,572","228,517","54,442","2,144",0,0,0,0,0,0,"13,080","14,899","72,197","75,674","73,667","4,553","34,988"
248,0,"3,981","6,855","5,733","3,815","4,117",0,0,0,"2,339","3,754","4,289","6,101","13,011","18,645","24,054","20,782","39,821","43,144","45,681","51,502","51,075","46,538","62,811","60,566","64,346","56,448","62,783","55,989","17,999",292,"4,681","25,060","26,022","15,473","13,587","15,542","25,842","25,825","23,473","19,111","12,468","6,349",0,0,0,0,"3,780","4,938","2,884",0,"3,031"
249,"1,590",295,"2,605","1,569","2,576",968,288,0,0,0,0,"2,436","2,404","3,998","9,078","13,279","16,052","7,673","7,043","4,162","7,009","11,280","17,406","14,521","25,525","16,323","16,189","15,246","19,578","17,533","17,386","10,149","8,326","3,810","2,528",979,"1,065",469,"1,748","2,218","1,963","4,924","6,869","2,555",0,915,"3,841","3,801","2,635","1,059",0,324
250,"3,009","23,204","16,817","12,980","11,106","19,087","19,181","19,691","11,282","25,783","38,396","36,213","78,746","103,917","154,947","188,312","218,564","260,918","261,336","252,982","310,575","310,168","352,251","404,261","398,330","408,788","443,053","488,193","505,561","447,894","402,348","322,558","326,145","295,810","285,223","291,633","273,121","200,840","139,055","128,443","86,268","38,112","35,694","15,278","18,215","32,671","28,003","38,410","41,106","30,807","9,231","8,438"
251,"4,738","8,581","8,685","8,564","3,476","2,427","1,665","1,399","1,017","6,348","2,466","5,976","9,062","15,107","23,343","60,944","48,837","61,282","71,507","30,193","62,059","67,370","80,729","74,413","99,142","115,410","133,202","124,702","122,018","116,433","127,375","71,747","90,975","68,545","28,536","27,063","41,236","37,035","40,705","37,401","26,806","21,421","20,244","24,781","21,937","7,743","3,541","4,541","2,801",712,0,"2,102"
252,"6,524","9,571","5,638","5,814","3,642","4,813","1,246","2,251","1,560","7,271","4,073","4,056","5,638","10,340","7,977","16,780","29,941","31,687","29,428","41,912","65,892","66,417","67,274","68,359","94,073","87,587","87,743","67,565","71,368","64,761","65,607","52,760","48,343","28,768","8,763","12,549","6,252","16,284","1,314","4,898",0,"8,519","23,005",0,0,0,"10,037","9,892","6,270","7,507",0,"3,362"
253,0,0,0,0,0,0,0,0,0,"4,680","5,330","6,333","10,468","16,051","18,548","25,041","34,026","36,279","39,853","44,443","51,968","56,425","62,695","64,753","61,779","58,652","62,368","67,956","64,047","64,949","70,849","62,106","58,051","51,629","41,856","33,604","36,922","37,342","44,474","41,123","39,162","33,572","47,886","41,511","34,727","37,162","38,507","34,651","31,403","27,857","19,694","17,082"
254,"118,852","61,805","55,242","43,716","32,024","39,760","34,597","3,976","5,814","24,300","11,554","23,654","23,655","32,430","37,795","34,017","82,047","68,319","60,090","26,527","14,407",0,0,0,0,0,0,0,0,0,0,0,0,0,"3,064",0,0,0,0,0,0,0,0,0,0,0,0,0,"3,344","4,658","2,308","4,262"
255,"3,793","13,529","11,816","11,362","7,338","14,872","15,164","8,970","6,730","22,639","23,944","15,676","17,751","27,301","38,892","40,942","55,654","53,089","49,408","68,075","100,779","113,214","130,380","111,450","124,038","138,150","151,177","136,036","134,225","128,417","78,961","74,722","89,303","86,897","117,608","113,618","103,061","105,554","81,478","52,936","26,202","10,119","7,873","4,056","1,637","7,857",0,"1,817","11,370","14,027","7,174","7,032"
256,"8,909","3,488","1,484",796,0,0,0,0,169,"2,299",835,950,449,971,"7,903","19,630","17,140","12,585","14,588","23,410","18,722","20,692","26,093","13,579","11,865","14,270","29,160","28,506","17,528","22,878","26,676","28,478","25,625","22,305","18,490","20,814","1,725",0,0,0,0,0,0,"10,987","10,582","16,752","19,682","16,238","12,989","7,977","2,068","4,082"
257,"2,321",902,"1,429","1,474","1,242","1,414","1,071","1,028",557,698,652,529,414,232,652,"1,255","1,258",706,793,564,562,289,248,122,243,121,284,82,121,0,0,0,0,0,0,0,0,0,0,0,158,0,0,0,0,0,136,268,223,190,0,311
258,410,636,436,375,261,353,223,134,135,136,183,318,334,"4,802","11,112","17,901","4,870","2,781","8,350","3,453","11,807","16,866","31,888","30,842","30,405","19,820","37,397","31,736","26,838","22,429","16,055","10,417","2,168","2,360","1,025","2,344",779,231,773,"1,282",600,899,0,0,0,0,0,0,0,478,0,240
259,"5,866","3,372","4,310","4,044","5,381",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,342","2,404","2,037","1,870","2,880","3,470","3,786","3,925","3,756","4,864","4,494","4,439","3,974","3,503","3,463","3,457","3,440","3,175","3,051","3,388","3,083","3,198","3,616","2,702","2,937","2,841","4,112","5,090","5,247","4,785","5,938","4,777","4,837"
260,"8,402",778,"2,895","3,245","1,315","1,384","1,360","1,739",176,0,0,0,0,0,0,0,0,"11,463","10,031","10,017","12,146","28,168","13,394",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"8,215","6,944","10,593","10,739","5,695","4,121"
261,"15,259",904,"12,346","11,132","6,160",0,"7,286","19,277","15,203","34,485","28,665","32,250","26,935","33,714","34,382","33,129","31,353","30,703","61,831","40,437","42,659","33,203","27,545","32,813","32,482","32,013","35,277","33,139","29,758","32,364","31,909","28,088","18,122","10,208",0,"5,226","6,768","5,223",0,0,0,0,0,0,0,"10,623","18,325","14,499","17,888","16,151","13,641","12,017"
262,"6,460","1,631","2,084","2,843","1,428",466,"1,516",781,0,667,"1,782","1,033","2,496","1,379","3,057","2,927","1,113",0,464,"1,427",877,"2,517","5,050","5,429","9,257","11,080","9,957","12,004","8,498","8,404","7,004","2,521",826,0,348,0,0,0,0,"1,071",0,0,0,0,355,0,694,"2,909","1,476",472,806,893
263,"14,654","13,765","12,009","76,553",0,"7,981","14,519","18,186","14,642","60,521","28,262","70,597","41,224","109,031","226,392","161,843","241,276","209,230","272,781","207,862","278,516","297,799","415,487","360,833","344,140","407,103","624,412","525,840","495,196","428,912","326,613","231,666","247,126","124,982","40,185","73,637","69,911","22,846","19,685","6,189",0,0,"12,417","5,711","6,034","5,445","4,787","5,253","4,770","2,527","2,739","4,680"
264,"22,066","19,378","25,569","38,615","20,712","26,611","33,617","25,119","11,831","37,781","39,086","38,275","30,522","32,304","31,627","38,571","58,376","42,314","36,528","43,859","54,037","44,969","60,861","49,694","50,202","71,398","68,612","61,565","56,772","49,063","41,738","41,046","42,752","31,639","17,646","21,627","13,982","12,763","9,150","7,418","5,410","17,807","13,689","25,759","29,524","43,899","30,502","35,044","14,467","17,518","3,653","15,845"
265,"14,339","15,726","19,356","14,959","8,816","12,886","11,766","11,080","10,016","15,124","11,716","9,923","9,382","10,145","11,868","11,304","13,777","13,675","16,617","16,574","11,350","12,377","13,238","18,063","20,422","14,802","25,257","28,473","35,156","30,803","40,454","37,103","44,998","12,851","9,835","7,462","10,106","9,415","11,678","9,852","7,362","5,657","4,998",0,0,0,"1,927",0,"3,973","3,406","1,184","2,850"
266,"2,874","9,347","4,802","18,148","13,462","10,327",0,"16,811","13,934","35,508","28,883","38,361","47,836","57,641","76,362","87,481","68,171","59,250","25,460","24,223","17,708","26,463","43,393","55,743","41,218","50,493","38,526","48,697","72,835","89,102","81,358","54,949","50,546","45,855","38,542","43,038","46,051","51,215","58,413","44,843","40,772","15,926","27,125","25,361","27,556","31,297","39,929","38,328","30,798","29,679","26,407","24,706"
267,0,0,0,"45,180","38,560","46,585","49,280","51,296","31,943","62,462","50,264","47,551","57,232","63,219","68,797","69,670","93,476","94,180","88,515","75,906","92,277","90,019","134,501","120,578","124,404","144,606","150,059","135,924","124,654","97,643","43,423","42,961","56,878","53,062","57,662","56,205",0,0,0,0,"1,858","27,478","37,793","34,458","31,257","32,973","33,264","34,618","35,240","41,989","21,866","30,905"
268,0,0,0,"7,729","11,545","11,860","13,745","12,257","8,181","17,435","17,400","15,696","16,647","15,280","23,227","25,446","30,841","28,685","29,176","28,632","23,934","30,106","34,180","41,576","41,423","45,978","44,381","43,158","40,883","43,016","37,232","36,372","35,063","34,047","23,481","25,536","23,778","20,725","13,422","16,639","9,882","11,196","18,001","17,581","5,820","10,590","13,662","14,912","16,191","14,525","9,099","11,810"
269,"30,184","28,732","26,786","26,105","9,768","19,153","16,369","15,354","19,837","29,017","23,499","11,087","5,418","4,856","1,724",0,"23,486","18,400","18,141","7,119","8,570","28,992","14,426","14,602","11,791","5,326","12,471","34,396","28,396","26,028","16,394","18,399","12,367","11,440","1,677","7,964",299,0,0,0,0,778,"1,759",0,0,0,0,"6,115","3,413","2,860",0,561
270,"14,009","1,631","11,641","24,585","22,788","25,847","16,954",620,0,0,0,0,"5,792","36,032","29,096","33,734","34,915","37,022","39,000","37,497","44,206","43,477","41,503","50,820","47,057","50,839","55,920","41,604","34,642","35,489","30,331","30,278","26,276","25,889","30,172","37,939","30,849","33,667","36,305","44,525","25,134","33,475","42,350","41,603","22,725","22,084","33,723","31,751","19,361","29,302","22,392","27,606"
271,"87,075","73,499","50,865","62,958","29,661","86,844","104,544","96,105","49,841","128,235","97,380","98,888","102,416","104,738","131,931","162,166","185,158","177,380","169,693","166,790","148,966","147,633","136,300","161,370","173,968","182,879","214,635","221,184","211,609","158,477","153,495","158,426","185,506","148,660","126,057","106,607","102,600","56,609","48,611","20,069","32,811","68,236","106,588","91,902","82,041","88,164","58,390","65,295","114,138","108,097","85,635","96,404"
272,"49,346","45,051","25,288","26,161","10,729","23,044","21,959","24,945","10,844","37,284","21,906","25,843","28,565","26,279","50,406","41,495","31,889","31,996","39,113","31,026","61,785","68,235","69,794","65,526","77,542","105,505","114,133","90,962","89,045","79,402","53,825","61,128","32,543","19,553","8,433","15,422","8,181","2,974","5,207","3,772","4,652","4,692","13,033","14,497","13,303","20,307","26,972","16,445","23,387","15,008","9,125","20,976"
273,0,0,0,0,0,"23,381","33,027","31,826","19,563","53,749","41,816","37,630","41,969","47,591","46,868","47,772","46,303","47,260","52,104","55,768","55,533","60,330","58,166","65,403","64,667","75,814","68,099","70,023","72,109","75,476","66,662","60,459","54,310","42,636","41,923","28,849","23,309","23,498","14,554",0,0,0,0,0,0,0,0,"5,975","24,174","20,960","8,599","18,849"
274,"19,015","16,198","13,211","11,677","2,297",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5,117","13,981","13,357","16,594","9,761","10,785","10,801","10,832","5,364","5,584"
275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"6,707",0,0,0,0,0,0,0,0,0,0,0,0,0,"6,152","2,742","11,234"
276,"89,882","84,913","73,378","70,616","55,209","64,355","18,735",0,0,"1,179",0,0,0,"2,371",0,"75,169","96,292","69,785","90,819","68,286","69,012","70,081","80,150","87,238","117,190","88,131","72,946","102,330","109,460","95,820","74,848","115,800","81,368","21,532","14,566","33,859","7,730",0,0,0,0,"2,334","9,746","14,098","16,826","8,895","23,183","11,269","18,543","16,652",0,"38,833"
277,"13,059","3,898","9,824","5,792",0,0,0,0,0,0,0,0,0,0,0,"22,515","26,932","23,294","15,796","6,430","13,960","11,818","19,115","37,423","40,336","54,551","50,919","51,135","54,032","53,006","51,695","35,174","21,480","17,379","16,634","19,809","17,228","6,300","12,421","15,264","6,173","6,438","32,698","32,329","29,626","13,517","21,548","18,833","13,484","9,057","2,511","5,346"
278,0,0,0,0,939,"2,417","2,330","2,575","1,496","4,453","3,724","3,814","4,273","4,015","4,887","5,067","5,259","4,805","4,530","3,871","4,233","4,580","4,743","5,237","4,431","5,951","5,384","5,309","5,486","5,408","5,255","5,020","4,923","4,901","4,830","4,898","5,162","5,021","5,331","5,079","4,938","4,031","12,127","16,917","4,898","4,153","4,417","5,030","12,844","12,207","8,800","11,785"
279,"1,028",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,814,587,992,"1,957","2,560","3,038","5,154","5,614","8,841","9,059","9,815","11,075","11,711","11,187","12,092","8,107","5,912","4,243","3,357","3,143","3,245","3,124","1,917",903,"1,484","5,723","3,418","5,540","4,764","5,905","8,357","5,580","4,015","7,678"
280,"1,572","1,133","1,608","1,695","1,201","1,315","1,248",958,669,"1,935","1,628","2,383","2,340","2,273","2,295","2,067","1,826","2,140","1,939","1,918","1,933","1,867","1,747","1,889","1,969","1,926","2,048","2,024","2,140","2,061","1,745","1,943","1,958","1,694","1,869","2,137","1,703","1,509","2,333","1,801","1,567","1,057","1,342","1,611","1,325","1,306","1,098",711,262,344,235,260
281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,258","1,629",0,0,"1,437",0,"3,041",0,"7,430","16,683","17,480","12,968","4,937","14,299"
282,"29,034","24,460","16,865","4,468",0,0,"5,361","10,805","5,487","16,433","5,772","5,890",0,"19,852","22,960","2,668","3,467","32,748","32,463","29,581","30,329","37,038","41,814","36,873","48,693","52,772","56,009","56,837","57,920","58,906","61,044","58,193","59,171","56,002","54,411","54,972","57,070","52,382","53,574","51,772","53,362","44,183","52,436","43,202","24,079","11,186","41,499","33,693","52,195","53,362","37,695","45,529"
283,"33,473","19,492","21,137","19,572","18,825","18,814","19,502","20,565","12,837","22,239",0,0,0,0,0,"9,018","10,554","14,378","18,255","17,842","22,874","18,442","33,526","34,437","37,411","34,787","42,560","48,969","33,931","29,062","28,747","26,017","23,019","16,379","11,360","13,584","12,306","13,381","37,801","33,457","19,648","24,916","43,282","45,202","40,979","38,378","49,278","51,140","52,280","45,698","43,213","47,195"
